ID        , NAME      , XGRIDS    , YGRIDS    , XORIGIN   , YORIGIN   , AREASIZE  , 
0         , CharCreate, 4         , 4         , 0         , -10240    , 256       , 
1         , ValleyTown, 60        , 68        , -10240    , -7168     , 256       , 
2         , Ochun     , 32        , 52        , 7168      , -2048     , 256       , 
3         , Deadland  , 44        , 40        , -1024     , 11264     , 256       , 
4         , Tibet     , 48        , 32        , 36864     , 39936     , 256       , 
5         , AT3       , 24        , 20        , 31744     , 34816     , 256       , 
6         , Beginner  , 4         , 4         , 34816     , 49152     , 256       , 
7         , RedCastle , 48        , 48        , 37888     , 53248     , 256       , 
8         , MidCastle , 40        , 20        , 20480     , 60416     , 256       , 
9         , Skyzone   , 32        , 32        , 8192      , 57344     , 256       , 
10        , 144Castle , 48        , 48        , 37888     , 53248     , 256       , 
11        , 144Cave   , 12        , 12        , 7168      , 24576     , 256       , 
12        , 160Castle , 48        , 48        , 37888     , 53248     , 256       , 
100       , Casino    , 4         , 4         , 23552     , 55296     , 256       , 
201       , LawfulCave, 12        , 12        , 0         , 24576     , 256       , 
202       , EvilCave  , 12        , 12        , 7168      , 24576     , 256       , 
203       , Dungeon   , 20        , 24        , 14336     , 24576     , 256       , 
204       , AT1       , 20        , 24        , 14336     , 33792     , 256       , 
205       , AT2       , 20        , 20        , 23552     , 34816     , 256       , 
206       , GMisland1 , 20        , 24        , 30720     , 44032     , 256       , 
207       , GMisland2 , 20        , 12        , 30720     , 54272     , 256       , 
208       , dunno     , 12        , 4         , 32768     , 61440     , 256       , 
209       , Graveyard1, 12        , 8         , 24576     , 28672     , 256       , 
210       , Graveyard2, 12        , 8         , 31744     , 28672     , 256       , 
300       , 12BF      , 40        , 12        , 23552     , 10240     , 256       , 
