MAP       , ID        , AMOUNT    , X1        , Y1        , DX        , DY        , RX        , RY        , RADIUS    , 
1         , 171       , 9         , 69.0      , 211.0     , 652.0     , 526.0     , 395.0     , 474.0     , 526.0     , 
1         , 172       , 5         , 69.0      , 210.0     , 651.0     , 527.0     , 394.5     , 473.5     , 527.0     , 
1         , 181       , 4         , 84.0      , 246.0     , 660.0     , 493.0     , 414.0     , 492.5     , 493.0     , 
1         , 182       , 5         , 71.0      , 232.0     , 662.0     , 507.0     , 402.0     , 485.5     , 507.0     , 
1         , 12171     , 1         , 74.0      , 214.0     , 648.0     , 532.0     , 398.0     , 480.0     , 532.0     , 
1         , 12172     , 1         , 74.0      , 216.0     , 641.0     , 521.0     , 394.5     , 476.5     , 521.0     , 
1         , 12181     , 1         , 73.0      , 218.0     , 658.0     , 521.0     , 402.0     , 478.5     , 521.0     , 
1         , 12182     , 1         , 73.0      , 220.0     , 655.0     , 519.0     , 400.5     , 479.5     , 519.0     , 
1         , 13171     , 1         , 76.0      , 222.0     , 641.0     , 519.0     , 396.5     , 481.5     , 519.0     , 
1         , 13172     , 1         , 70.0      , 220.0     , 651.0     , 519.0     , 395.5     , 479.5     , 519.0     , 
1         , 13181     , 1         , 72.0      , 223.0     , 644.0     , 519.0     , 394.0     , 482.5     , 519.0     , 
1         , 13182     , 1         , 71.0      , 221.0     , 650.0     , 517.0     , 396.0     , 479.5     , 517.0     , 
1         , 151       , 5         , 29.0      , 1289.0    , 282.0     , 467.0     , 170.0     , 1522.5    , 282.0     , 
1         , 151       , 6         , 357.0     , 1717.0    , 464.0     , 118.0     , 589.0     , 1776.0    , 118.0     , 
1         , 151       , 5         , 295.0     , 1037.0    , 369.0     , 209.0     , 479.5     , 1141.5    , 209.0     , 
1         , 161       , 4         , 292.0     , 1036.0    , 361.0     , 212.0     , 472.5     , 1142.0    , 212.0     , 
1         , 161       , 5         , 26.0      , 1285.0    , 284.0     , 473.0     , 168.0     , 1521.5    , 284.0     , 
1         , 161       , 4         , 357.0     , 1719.0    , 464.0     , 115.0     , 589.0     , 1776.5    , 115.0     , 
1         , 12151     , 1         , 293.0     , 1038.0    , 364.0     , 211.0     , 475.0     , 1143.5    , 211.0     , 
1         , 12152     , 1         , 27.0      , 1289.0    , 286.0     , 468.0     , 170.0     , 1523.0    , 286.0     , 
1         , 12161     , 1         , 293.0     , 1035.0    , 357.0     , 210.0     , 471.5     , 1140.0    , 210.0     , 
1         , 12162     , 1         , 27.0      , 1295.0    , 291.0     , 461.0     , 172.5     , 1525.5    , 291.0     , 
1         , 13151     , 1         , 295.0     , 1034.0    , 362.0     , 213.0     , 476.0     , 1140.5    , 213.0     , 
1         , 13152     , 1         , 29.0      , 1292.0    , 286.0     , 462.0     , 172.0     , 1523.0    , 286.0     , 
1         , 13161     , 1         , 292.0     , 1039.0    , 370.0     , 206.0     , 477.0     , 1142.0    , 206.0     , 
1         , 13162     , 1         , 31.0      , 1291.0    , 284.0     , 464.0     , 173.0     , 1523.0    , 284.0     , 
1         , 141       , 8         , 1466.0    , 377.0     , 572.0     , 353.0     , 1752.0    , 553.5     , 353.0     , 
1         , 142       , 8         , 1088.0    , 284.0     , 722.0     , 492.0     , 1449.0    , 530.0     , 492.0     , 
1         , 81        , 6         , 1460.0    , 282.0     , 339.0     , 630.0     , 1629.5    , 597.0     , 339.0     , 
1         , 82        , 6         , 1086.0    , 282.0     , 365.0     , 494.0     , 1268.5    , 529.0     , 365.0     , 
1         , 12141     , 1         , 1467.0    , 376.0     , 536.0     , 352.0     , 1735.0    , 552.0     , 352.0     , 
1         , 12142     , 1         , 1088.0    , 285.0     , 392.0     , 488.0     , 1284.0    , 529.0     , 392.0     , 
1         , 12081     , 1         , 1459.0    , 288.0     , 335.0     , 478.0     , 1626.5    , 527.0     , 335.0     , 
1         , 12082     , 1         , 1087.0    , 282.0     , 397.0     , 495.0     , 1285.5    , 529.5     , 397.0     , 
1         , 13141     , 1         , 1474.0    , 384.0     , 557.0     , 348.0     , 1752.5    , 558.0     , 348.0     , 
1         , 13142     , 1         , 1090.0    , 286.0     , 384.0     , 490.0     , 1282.0    , 531.0     , 384.0     , 
1         , 13081     , 1         , 1461.0    , 288.0     , 338.0     , 576.0     , 1630.0    , 576.0     , 338.0     , 
1         , 13082     , 1         , 1085.0    , 271.0     , 396.0     , 499.0     , 1283.0    , 520.5     , 396.0     , 
1         , 141       , 6         , 1477.0    , 1034.0    , 208.0     , 386.0     , 1581.0    , 1227.0    , 208.0     , 
1         , 142       , 6         , 1161.0    , 1345.0    , 624.0     , 422.0     , 1473.0    , 1556.0    , 422.0     , 
1         , 81        , 8         , 1248.0    , 1184.0    , 471.0     , 368.0     , 1483.5    , 1368.0    , 368.0     , 
1         , 82        , 8         , 1164.0    , 1420.0    , 648.0     , 350.0     , 1488.0    , 1595.0    , 350.0     , 
1         , 12141     , 1         , 1477.0    , 1034.0    , 212.0     , 453.0     , 1583.0    , 1260.5    , 212.0     , 
1         , 12142     , 1         , 1164.0    , 1417.0    , 624.0     , 339.0     , 1476.0    , 1586.5    , 339.0     , 
1         , 12081     , 1         , 1251.0    , 1183.0    , 460.0     , 248.0     , 1481.0    , 1307.0    , 248.0     , 
1         , 12082     , 1         , 1166.0    , 1358.0    , 617.0     , 396.0     , 1474.5    , 1556.0    , 396.0     , 
1         , 13141     , 1         , 1477.0    , 1035.0    , 214.0     , 390.0     , 1584.0    , 1230.0    , 214.0     , 
1         , 13142     , 1         , 1166.0    , 1435.0    , 611.0     , 320.0     , 1471.5    , 1595.0    , 320.0     , 
1         , 13081     , 1         , 1251.0    , 1182.0    , 459.0     , 264.0     , 1480.5    , 1314.0    , 264.0     , 
1         , 13082     , 1         , 1167.0    , 1351.0    , 619.0     , 414.0     , 1476.5    , 1558.0    , 414.0     , 
1         , 1622      , 6         , 1867.0    , 5889.0    , 104.0     , 374.0     , 1919.0    , 6076.0    , 104.0     , 
1         , 1622      , 2         , 1886.0    , 5878.0    , 151.0     , 92.0      , 1961.5    , 5924.0    , 92.0      , 
1         , 1619      , 11        , 1868.0    , 6162.0    , 99.0      , 654.0     , 1917.5    , 6489.0    , 99.0      , 
1         , 1619      , 6         , 1727.0    , 6837.0    , 229.0     , 119.0     , 1841.5    , 6896.5    , 119.0     , 
1         , 1619      , 5         , 1709.0    , 7054.0    , 277.0     , 90.0      , 1847.5    , 7099.0    , 90.0      , 
1         , 1619      , 2         , 1589.0    , 6915.0    , 48.0      , 128.0     , 1613.0    , 6979.0    , 48.0      , 
1         , 1620      , 1         , 1674.0    , 7044.0    , 355.0     , 114.0     , 1851.5    , 7101.0    , 114.0     , 
1         , 1620      , 1         , 1872.0    , 6172.0    , 104.0     , 702.0     , 1924.0    , 6523.0    , 104.0     , 
