ID        , NAME             , MODULE    , ITEM1     , ITEM2     , ITEM3     , ITEM4     , ITEM5     , ITEM6     , ITEM7     , ITEM8     , ITEM9     , ITEM10    , ITEM11    , ITEM12    , ITEM13    , ITEM14    , ITEM15    , ITEM16    , ITEM17    , ITEM18    , ITEM19    , ITEM20    , ITEM21    , ITEM22    , ITEM23    , ITEM24    , ITEM25    , ITEM26    , ITEM27    , ITEM28    , ITEM29    , ITEM30    , ITEM31    , ITEM32    , ITEM33    , ITEM34    , ITEM35    , ITEM36    , ITEM37    , ITEM38    , ITEM39    , ITEM40    , ITEM41    , ITEM42    , ITEM43    , ITEM44    , ITEM45    , ITEM46    , ITEM47    , ITEM48    , ITEM49    , ITEM50    , ITEM51    , ITEM52    , ITEM53    , ITEM54    , ITEM55    , ITEM56    , ITEM57    , ITEM58    , ITEM59    , ITEM60    , 
10        , ######## ####    , 5         , 241111006 , 241111007 , 241111008 , 241111009 , 241111010 , 241111011 , 241111012 , 241111013 , 241111014 , 241111015 , 241111016 , 241111017 , 241111018 , 241111019 , 241111020 , 241221006 , 241221007 , 241221008 , 241221009 , 241221010 , 241221011 , 241221012 , 241221013 , 241221014 , 241221015 , 241221016 , 241221017 , 241221018 , 241221019 , 241221020 , 241131006 , 241131007 , 241131008 , 241131009 , 241131010 , 241131011 , 241131012 , 241131013 , 241131014 , 241131015 , 241131016 , 241131017 , 241131018 , 241131019 , 241131020 , 241141006 , 241141007 , 241141008 , 241141009 , 241141010 , 241141011 , 241141012 , 241141013 , 241141014 , 241141015 , 241141016 , 241141017 , 241141018 , 241141019 , 241141020 , 
11        , ######## ####    , 5         , 241112006 , 241112007 , 241112008 , 241112009 , 241112010 , 241112011 , 241112012 , 241112013 , 241112014 , 241112015 , 241112016 , 241112017 , 241112018 , 241112019 , 241112020 , 241222006 , 241222007 , 241222008 , 241222009 , 241222010 , 241222011 , 241222012 , 241222013 , 241222014 , 241222015 , 241222016 , 241222017 , 241222018 , 241222019 , 241222020 , 241132006 , 241132007 , 241132008 , 241132009 , 241132010 , 241132011 , 241132012 , 241132013 , 241132014 , 241132015 , 241132016 , 241132017 , 241132018 , 241132019 , 241132020 , 241142006 , 241142007 , 241142008 , 241142009 , 241142010 , 241142011 , 241142012 , 241142013 , 241142014 , 241142015 , 241142016 , 241142017 , 241142018 , 241142019 , 241142020 , 
20        , ######## ######  , 5         , 241113006 , 241113007 , 241113008 , 241113009 , 241113010 , 241113011 , 241113012 , 241113013 , 241113014 , 241113015 , 241113016 , 241113017 , 241113018 , 241113019 , 241113020 , 241223006 , 241223007 , 241223008 , 241223009 , 241223010 , 241223011 , 241223012 , 241223013 , 241223014 , 241223015 , 241223016 , 241223017 , 241223018 , 241223019 , 241223020 , 241133006 , 241133007 , 241133008 , 241133009 , 241133010 , 241133011 , 241133012 , 241133013 , 241133014 , 241133015 , 241133016 , 241133017 , 241133018 , 241133019 , 241133020 , 241143006 , 241143007 , 241143008 , 241143009 , 241143010 , 241143011 , 241143012 , 241143013 , 241143014 , 241143015 , 241143016 , 241143017 , 241143018 , 241143019 , 241143020 , 
30        , ###### ####      , 5         , 203110103 , 204110101 , 206110103 , 203220103 , 204220101 , 206220103 , 203130103 , 204130101 , 206130103 , 203140103 , 204140101 , 206140103 , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 
40        , ###### ####      , 5         , 213062798 , 281000071 , 281000072 , 281000073 , 210110015 , 281000075 , 281000076 , 281000077 , 281000078 , 281000079 , 210220015 , 281000081 , 281000082 , 281000083 , 281000084 , 281000085 , 210130015 , 281000087 , 281000088 , 281000089 , 281000090 , 281000091 , 210140015 , 281000093 , 281000094 , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 
50        , ###### ####      , 5         , 207114102 , 207224102 , 207134102 , 208114102 , 208224102 , 208134102 , 209110102 , 209220102 , 209130102 , 208114103 , 208224103 , 208134103 , 209140102 , 213010001 , 213010002 , 213020001 , 213020002 , 213030001 , 212100001 , 208114114 , 208224114 , 208134114 , 208144114 , 207144102 , 208144102 , 208144103 , 212100003 , 212100004 , 212100002 , 212100006 , 215010001 , 213040004 , 213040005 , 212100043 , 212100044 , 213000001 , 212100141 , 212100143 , 212100142 , 213062475 , 213010003 , 213020003 , 212020004 , 273000242 , 273000243 , 273000279 , 273000280 , 273000281 , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 
60        , ###### ####      , 5         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 
70        , ###### ####      , 5         , 213400011 , 213400021 , 213400031 , 213400041 , 213400013 , 213400023 , 213400033 , 213400043 , 213060101 , 213060102 , 213062383 , 213010003 , 213020003 , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 
80        , ########## ####  , 10        , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 
90        , ######## ####    , 9         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 
