MAP       , ID        , X1        , Y1        , 
1         , 10        , -1701.0   , 2357.0    , 
1         , 11        , -1686.0   , 2305.0    , 
1         , 20        , -1566.0   , 2738.0    , 
1         , 30        , -1712.0   , 2603.0    , 
1         , 40        , -1753.0   , 2610.0    , 
1         , 50        , -1730.0   , 2707.0    , 
1         , 60        , -1763.0   , 2428.0    , 
1         , 80        , -1399.0   , 2588.0    , 
1         , 90        , -1375.0   , 2454.0    , 
1         , 91        , -1512.0   , 2676.0    , 
1         , 100       , -1596.0   , 2587.0    , 
1         , 110       , -5650.0   , 79.0      , 
1         , 120       , -5422.0   , 54.0      , 
1         , 130       , -5654.0   , -101.0    , 
1         , 140       , -5621.0   , -162.0    , 
1         , 150       , -5808.0   , -118.0    , 
1         , 160       , -5609.0   , 190.0     , 
1         , 170       , 2557.0    , 531.0     , 
1         , 180       , 2689.0    , 540.0     , 
1         , 190       , 2615.0    , 600.0     , 
1         , 200       , 2620.0    , 368.0     , 
1         , 210       , 2685.0    , 690.0     , 
1         , 220       , 2576.0    , 699.0     , 
1         , 224       , 2662.0    , 480.0     , 
1         , 225       , 2725.0    , 657.0     , 
1         , 230       , -1282.0   , 7482.0    , 
1         , 240       , -1605.0   , 7757.0    , 
1         , 250       , -1539.0   , 7594.0    , 
1         , 260       , -1454.0   , 7409.0    , 
1         , 261       , -1563.0   , 7560.0    , 
1         , 270       , -1410.0   , 7459.0    , 
1         , 280       , -1635.0   , 7514.0    , 
1         , 290       , -2677.0   , -3629.0   , 
1         , 291       , -2527.0   , -3392.0   , 
1         , 300       , -2591.0   , -3797.0   , 
1         , 310       , -2260.0   , -3691.0   , 
1         , 320       , -2321.0   , -3467.0   , 
1         , 330       , -2340.0   , -3366.0   , 
1         , 340       , -2287.0   , -3838.0   , 
1         , 350       , -2123.0   , -3357.0   , 
1         , 360       , -5480.0   , 2915.0    , 
1         , 360       , -1543.0   , 7535.0    , 
1         , 370       , -1436.0   , 2733.0    , 
1         , 380       , -1486.0   , 2735.0    , 
1         , 390       , -1414.0   , 2776.0    , 
1         , 400       , -1451.0   , 2752.0    , 
1         , 401       , -1749.0   , 7588.0    , 
1         , 402       , -1487.0   , 7388.0    , 
1         , 403       , -1285.0   , 7538.0    , 
1         , 404       , -1360.0   , 7503.0    , 
1         , 405       , -1504.0   , 7578.0    , 
1         , 406       , -1405.0   , 7659.0    , 
1         , 410       , 2667.0    , 434.0     , 
1         , 420       , -1368.0   , 7586.0    , 
1         , 430       , 2731.0    , 574.0     , 
1         , 440       , 2513.0    , 626.0     , 
1         , 450       , 2632.0    , 709.0     , 
1         , 460       , -1656.0   , 7719.0    , 
1         , 461       , -1526.0   , 7842.0    , 
1         , 840       , -5567.0   , -150.0    , 
1         , 980       , -1746.0   , 2406.0    , 
1         , 1070      , 2624.0    , 561.0     , 
1         , 1080      , -1515.0   , 7533.0    , 
1         , 1290      , -2705.0   , -3698.0   , 
1         , 1300      , 2675.0    , 519.0     , 
1         , 1310      , 2704.0    , 550.0     , 
1         , 1320      , -1560.0   , 2395.0    , 
1         , 1321      , -1441.0   , 7478.0    , 
1         , 1322      , -1514.0   , 2398.0    , 
1         , 1323      , -1664.0   , 7526.0    , 
1         , 1324      , -1496.0   , 7661.0    , 
1         , 1325      , -1519.0   , 7712.0    , 
1         , 1326      , -1612.0   , 7491.0    , 
1         , 1330      , -1640.0   , 2677.0    , 
1         , 1340      , -1681.0   , 2732.0    , 
1         , 1350      , -6714.0   , -4142.0   , 
1         , 1360      , -6362.0   , -4144.0   , 
1         , 1370      , -7047.0   , 103.0     , 
1         , 1380      , -1499.0   , 7788.0    , 
1         , 1390      , -6579.0   , -4896.0   , 
1         , 1400      , -6513.0   , -4897.0   , 
1         , 1410      , -1525.0   , 7424.0    , 
1         , 1420      , -6546.0   , -4217.0   , 
1         , 1810      , -1568.0   , 2579.0    , 
1         , 1960      , -1586.0   , 2542.0    , 
1         , 1970      , -1617.0   , 2568.0    , 
1         , 2080      , -1550.0   , 2559.0    , 
1         , 2130      , -1625.0   , 2539.0    , 
1         , 2140      , -1474.0   , 2625.0    , 
1         , 2150      , -2359.0   , -304.0    , 
1         , 2160      , 3477.0    , 426.0     , 
1         , 2170      , -1716.0   , 2665.0    , 
1         , 2220      , -1459.0   , 2525.0    , 
1         , 2430      , -1641.0   , 2441.0    , 
1         , 2440      , -1722.0   , 2468.0    , 
1         , 2520      , -1710.0   , 2557.0    , 
1         , 2545      , -1617.0   , 2310.0    , 
1         , 3000      , -1666.0   , 6865.0    , 
1         , 3010      , -7396.0   , 1263.0    , 
1         , 3020      , 536.0     , 1469.0    , 
1         , 3030      , -413.0    , -2571.0   , 
1         , 3040      , -1820.0   , 1667.0    , 
1         , 3050      , -3549.0   , 522.0     , 
1         , 3060      , -3555.0   , 5631.0    , 
1         , 3070      , -2576.0   , -1755.0   , 
1         , 3080      , 4517.0    , 1226.0    , 
1         , 3300      , -1476.0   , -3377.0   , 
1         , 3310      , -1564.0   , 164.0     , 
1         , 3320      , -5886.0   , 2641.0    , 
1         , 3330      , -3779.0   , 887.0     , 
1         , 3340      , -2467.0   , 3594.0    , 
1         , 3350      , 381.0     , 441.0     , 
1         , 3360      , 3627.0    , -451.0    , 
1         , 3370      , -2560.0   , 5804.0    , 
1         , 3380      , -2606.0   , 7807.0    , 
1         , 9000      , -2610.0   , 3000.0    , 
1         , 9001      , -2600.0   , 2990.0    , 
1         , 9002      , -2590.0   , 2980.0    , 
1         , 9003      , -2580.0   , 2970.0    , 
1         , 9004      , -2570.0   , 2960.0    , 
1         , 9005      , -2560.0   , 2960.0    , 
1         , 9006      , -2550.0   , 2970.0    , 
1         , 9007      , -2540.0   , 2980.0    , 
1         , 9008      , -2530.0   , 2990.0    , 
1         , 9009      , -2520.0   , 3000.0    , 
1         , 9030      , -2400.0   , 3200.0    , 
1         , 9031      , -2400.0   , 3210.0    , 
1         , 9032      , -2400.0   , 3220.0    , 
1         , 9033      , -2400.0   , 3230.0    , 
1         , 9034      , -2400.0   , 3240.0    , 
1         , 9035      , -2400.0   , 3250.0    , 
1         , 9036      , -2410.0   , 3260.0    , 
1         , 9037      , -2420.0   , 3270.0    , 
1         , 9038      , -2430.0   , 3280.0    , 
1         , 9039      , -2440.0   , 3290.0    , 
1         , 9060      , -2610.0   , 3180.0    , 
1         , 9061      , -2610.0   , 3190.0    , 
1         , 9062      , -2610.0   , 3200.0    , 
1         , 9063      , -2610.0   , 3210.0    , 
1         , 9064      , -2610.0   , 3220.0    , 
1         , 9065      , -2610.0   , 3230.0    , 
1         , 9066      , -2600.0   , 3240.0    , 
1         , 9067      , -2590.0   , 3250.0    , 
1         , 9068      , -2580.0   , 3260.0    , 
1         , 9069      , -2570.0   , 3270.0    , 
1         , 10020     , -1627.0   , 2281.0    , 
1         , 10050     , -1689.0   , 2250.0    , 
1         , 10060     , -1756.0   , 2499.0    , 
1         , 10070     , -1576.0   , 2717.0    , 
1         , 10071     , -1588.0   , 2729.0    , 
1         , 10072     , -1597.0   , 2738.0    , 
1         , 10073     , -1608.0   , 2751.0    , 
1         , 10074     , -1617.0   , 2760.0    , 
1         , 10075     , -1624.0   , 2771.0    , 
1         , 10076     , -1626.0   , 2781.0    , 
1         , 10077     , -1624.0   , 2791.0    , 
1         , 10078     , -1618.0   , 2805.0    , 
1         , 10079     , -1614.0   , 2817.0    , 
1         , 10080     , -1608.0   , 2829.0    , 
2         , 408       , 12882.0   , 7553.0    , 
2         , 470       , 12506.0   , 7662.0    , 
2         , 480       , 12846.0   , 7896.0    , 
2         , 490       , 12842.0   , 7809.0    , 
2         , 500       , 13075.0   , 7850.0    , 
2         , 510       , 13105.0   , 7849.0    , 
2         , 520       , 12236.0   , 7499.0    , 
2         , 530       , 13212.0   , 7800.0    , 
2         , 540       , 13220.0   , 7652.0    , 
2         , 550       , 12618.0   , 7525.0    , 
2         , 560       , 12958.0   , 7604.0    , 
2         , 570       , 12746.0   , 7456.0    , 
2         , 580       , 11861.0   , 7725.0    , 
2         , 590       , 13411.0   , 7713.0    , 
2         , 600       , 12125.0   , 7501.0    , 
2         , 610       , 12386.0   , 7766.0    , 
2         , 620       , 8521.0    , 8903.0    , 
2         , 630       , 8570.0    , 8785.0    , 
2         , 640       , 8597.0    , 8926.0    , 
2         , 645       , 8690.0    , 8738.0    , 
2         , 650       , 8652.0    , 8704.0    , 
2         , 651       , 8583.0    , 8981.0    , 
2         , 652       , 8759.0    , 8934.0    , 
2         , 653       , 8805.0    , 8685.0    , 
2         , 654       , 8479.0    , 8920.0    , 
2         , 660       , 8765.0    , 8726.0    , 
2         , 670       , 8496.0    , 8963.0    , 
2         , 680       , 8502.0    , 8635.0    , 
2         , 690       , 8962.0    , 2616.0    , 
2         , 700       , 8754.0    , 2400.0    , 
2         , 710       , 8771.0    , 2471.0    , 
2         , 720       , 8691.0    , 2367.0    , 
2         , 730       , 8452.0    , 1971.0    , 
2         , 740       , 8940.0    , 2822.0    , 
2         , 750       , 8942.0    , 2722.0    , 
2         , 760       , 8459.0    , 2365.0    , 
2         , 770       , 8675.0    , 2927.0    , 
2         , 771       , 8503.0    , 2263.0    , 
2         , 860       , 12199.0   , 7497.0    , 
2         , 870       , 12636.0   , 7661.0    , 
2         , 910       , 8842.0    , 2815.0    , 
2         , 910       , 8525.0    , 8988.0    , 
2         , 910       , 12937.0   , 7549.0    , 
2         , 990       , 11919.0   , 7681.0    , 
2         , 1000      , 8692.0    , 2397.0    , 
2         , 1010      , 8633.0    , 2072.0    , 
2         , 1020      , 8633.0    , 2101.0    , 
2         , 1030      , 8470.0    , 1912.0    , 
2         , 1040      , 8504.0    , 1912.0    , 
2         , 1090      , 12167.0   , 7496.0    , 
2         , 1327      , 12993.0   , 7644.0    , 
2         , 1840      , 8457.0    , 2262.0    , 
2         , 1920      , 8676.0    , 8629.0    , 
2         , 1930      , 8523.0    , 8801.0    , 
2         , 2530      , 8590.0    , 2512.0    , 
2         , 2532      , 8587.0    , 2540.0    , 
2         , 2533      , 8589.0    , 2568.0    , 
2         , 2538      , 12110.0   , 7790.0    , 
2         , 2539      , 12130.0   , 7790.0    , 
2         , 2540      , 12150.0   , 7790.0    , 
2         , 2541      , 12170.0   , 7790.0    , 
2         , 2542      , 12190.0   , 7790.0    , 
2         , 2543      , 12210.0   , 7790.0    , 
2         , 2544      , 12878.0   , 7606.0    , 
2         , 3090      , 9861.0    , 1658.0    , 
2         , 3100      , 10715.0   , 4309.0    , 
2         , 3110      , 9537.0    , 7395.0    , 
2         , 3120      , 8767.0    , 6882.0    , 
2         , 3130      , 12696.0   , 5282.0    , 
2         , 3140      , 14923.0   , 7583.0    , 
2         , 3150      , 8948.0    , 8816.0    , 
2         , 10030     , 12878.0   , 7625.0    , 
2         , 10040     , 12878.0   , 7592.0    , 
3         , 950       , 5548.0    , 15919.0   , 
3         , 1430      , 1354.0    , 16251.0   , 
3         , 1440      , 1574.0    , 16055.0   , 
3         , 1450      , 1265.0    , 16305.0   , 
3         , 1460      , 1492.0    , 16053.0   , 
3         , 1470      , 1652.0    , 16299.0   , 
3         , 1480      , 1749.0    , 16170.0   , 
